source,output,grade,augmented
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0022.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0022.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0022.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0022_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0022.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0022_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0023.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0023.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0023.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0023_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0023.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0023_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0024-1.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0024-1.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0024-1.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0024-1_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0024.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0024.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0024.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0024_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0026.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0026.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0026.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0026_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0026.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0026_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0027.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0027.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0027.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0027_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0027.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0027_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0028.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0028.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0028.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0028_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0028.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0028_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0029.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0029.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0029.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0029_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0029.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0029_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0030.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0030.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0030.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0030_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0030.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0030_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0031.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0031.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0031.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0031_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0031.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0031_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0032.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0032.jpg,3A,False
