index,grade,capture_type,source_path,output_path,segmented,width,height,area_px
1,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083021.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083021.jpg,True,443,443,190114.5
2,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083243.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083243.jpg,True,446,445,189141.5
3,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083337.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083337.jpg,True,450,444,190201.0
4,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083422.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083422.jpg,True,448,448,191121.0
5,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083500.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083500.jpg,True,450,443,188114.0
6,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083539.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083539.jpg,True,450,443,189090.5
7,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083623.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083623.jpg,True,449,444,193853.5
8,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083658.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083658.jpg,True,445,440,187262.0
9,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083739.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083739.jpg,True,440,437,185549.5
10,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083752.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083752.jpg,True,445,437,188804.0
11,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083836.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083836.jpg,True,467,467,203661.5
12,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083846.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083846.jpg,True,449,450,194459.5
13,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083859.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083859.jpg,True,443,441,186455.5
14,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083930.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083930.jpg,True,448,448,191577.5
15,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083944.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083944.jpg,True,441,439,184981.5
16,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_083957.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_083957.jpg,True,454,449,187415.5
17,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_084019.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_084019.jpg,True,445,445,189448.5
18,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_084045.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_084045.jpg,True,447,443,181966.0
19,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_084056.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_084056.jpg,True,438,438,183470.5
20,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250912_084107.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250912_084107.jpg,True,444,448,186118.0
21,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_120919.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_120919.jpg,True,304,320,88858.5
22,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_120929.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_120929.jpg,True,305,320,89132.0
23,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_120945.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_120945.jpg,True,298,315,88535.0
24,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121005.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121005.jpg,True,306,319,90045.0
25,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121015.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121015.jpg,True,303,314,89092.5
26,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121038.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121038.jpg,True,307,324,90270.5
27,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121050.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121050.jpg,True,305,318,90530.0
28,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121059.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121059.jpg,True,306,319,90848.0
29,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121109.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121109.jpg,True,304,321,90122.5
30,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121130.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121130.jpg,True,304,320,89388.5
31,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121140.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121140.jpg,True,306,323,89910.0
32,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121151.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121151.jpg,True,308,326,89841.0
33,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121204.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121204.jpg,True,304,324,90203.0
34,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121214.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121214.jpg,True,303,322,89886.0
35,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121236.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121236.jpg,True,303,319,89833.5
36,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121321.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121321.jpg,True,307,323,91779.5
